graphid	dburl	img_url	wiki_url
6181	http://dbpedia.org/resource/Dragonfly_in_Amber	https://upload.wikimedia.org/wikipedia/en/thumb/1/19/Gabaldon-Dragonfly_in_Amber-1992.jpg/220px-Gabaldon-Dragonfly_in_Amber-1992.jpg	https://en.wikipedia.org/wiki/Dragonfly_in_Amber
6182	http://dbpedia.org/resource/Drums_of_Autumn	https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Gabaldon-Drums_of_Autumn-1996.jpg/220px-Gabaldon-Drums_of_Autumn-1996.jpg	https://en.wikipedia.org/wiki/Drums_of_Autumn
6183	http://dbpedia.org/resource/Snow_Crash	https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Snowcrash.jpg/220px-Snowcrash.jpg	https://en.wikipedia.org/wiki/Snow_Crash
6184	http://dbpedia.org/resource/The_Ponder_Heart	https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/The_Ponder_Heart.jpg/220px-The_Ponder_Heart.jpg	https://en.wikipedia.org/wiki/The_Ponder_Heart
6185	http://dbpedia.org/resource/The_Shadow_of_the_Torturer	https://upload.wikimedia.org/wikipedia/en/7/7f/Shadow_of_the_torturer.jpg	https://en.wikipedia.org/wiki/The_Shadow_of_the_Torturer
6186	http://dbpedia.org/resource/The_Story_of_Little_Black_Sambo	https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/The_Story_of_Little_Black_Sambo_1899_First_Edition_Cover.jpg/220px-The_Story_of_Little_Black_Sambo_1899_First_Edition_Cover.jpg	https://en.wikipedia.org/wiki/The_Story_of_Little_Black_Sambo
6187	http://dbpedia.org/resource/Lirael	https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Lirael.jpg/220px-Lirael.jpg	https://en.wikipedia.org/wiki/Lirael
6188	http://dbpedia.org/resource/Many_Waters	https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/ManyWatersCover400px.jpg/220px-ManyWatersCover400px.jpg	https://en.wikipedia.org/wiki/Many_Waters
6189	http://dbpedia.org/resource/Sabriel	https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Sabriel_Book_Cover.jpg/220px-Sabriel_Book_Cover.jpg	https://en.wikipedia.org/wiki/Sabriel
6190	http://dbpedia.org/resource/The_Rebel_Angels	https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Davies_Rebel_Angels.JPG/220px-Davies_Rebel_Angels.JPG	https://en.wikipedia.org/wiki/The_Rebel_Angels
6191	http://dbpedia.org/resource/Fancy_Nancy	https://upload.wikimedia.org/wikipedia/en/thumb/d/db/FancyNancy.jpg/200px-FancyNancy.jpg	https://en.wikipedia.org/wiki/Fancy_Nancy
6192	http://dbpedia.org/resource/The_Frog_Prince,_Continued	https://upload.wikimedia.org/wikipedia/en/thumb/5/50/The_Frog_Prince%2C_Continued.jpg/220px-The_Frog_Prince%2C_Continued.jpg	https://en.wikipedia.org/wiki/The_Frog_Prince,_Continued
6193	http://dbpedia.org/resource/The_Man_Who_Walked_Between_the_Towers	https://upload.wikimedia.org/wikipedia/en/thumb/8/89/CM_between_towers.jpg/220px-CM_between_towers.jpg	https://en.wikipedia.org/wiki/The_Man_Who_Walked_Between_the_Towers
6194	http://dbpedia.org/resource/The_Named	https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/The_Named.jpg/220px-The_Named.jpg	https://en.wikipedia.org/wiki/The_Named
6195	http://dbpedia.org/resource/The_Eagle_of_the_Ninth	https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Eagle_of_the_Ninth_cover.jpg/220px-Eagle_of_the_Ninth_cover.jpg	https://en.wikipedia.org/wiki/The_Eagle_of_the_Ninth
6196	http://dbpedia.org/resource/William_Cooper's_Town:_Power_and_Persuasion_on_the_Frontier_of_the_Early_American_Republic	https://upload.wikimedia.org/wikipedia/en/thumb/5/57/William_Cooper%27s_Town_book_cover.jpg/220px-William_Cooper%27s_Town_book_cover.jpg	https://en.wikipedia.org/wiki/William_Cooper's_Town:_Power_and_Persuasion_on_the_Frontier_of_the_Early_American_Republic
6197	http://dbpedia.org/resource/The_Fiery_Cross_(novel)	https://upload.wikimedia.org/wikipedia/en/2/25/The_Fiery_Cross.jpg	https://en.wikipedia.org/wiki/The_Fiery_Cross_(novel)
6198	http://dbpedia.org/resource/Espresso_Tales	https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/Espresso_Tales.jpg/220px-Espresso_Tales.jpg	https://en.wikipedia.org/wiki/Espresso_Tales
6199	http://dbpedia.org/resource/The_Grey_King	https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/The_Grey_King.jpg/220px-The_Grey_King.jpg	https://en.wikipedia.org/wiki/The_Grey_King
6200	http://dbpedia.org/resource/Fingerprints_of_the_Gods	https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Fingerprints_of_the_Gods_%28Graham_Hancock_book%29.jpg/220px-Fingerprints_of_the_Gods_%28Graham_Hancock_book%29.jpg	https://en.wikipedia.org/wiki/Fingerprints_of_the_Gods
6201	http://dbpedia.org/resource/The_Sherwood_Ring	https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/The-sherwood-ring.JPG/220px-The-sherwood-ring.JPG	https://en.wikipedia.org/wiki/The_Sherwood_Ring
6202	http://dbpedia.org/resource/The_Tail_of_Emily_Windsnap	https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/The_Tail_of_Emily_Windsnap_cover.jpg/220px-The_Tail_of_Emily_Windsnap_cover.jpg	https://en.wikipedia.org/wiki/The_Tail_of_Emily_Windsnap
6203	http://dbpedia.org/resource/Hidden_Jewel	https://pics.cdn.librarything.com/picsizes/bd/f7/bdf7fa372a8221d596d4d366e77426f41514141_v5.jpg	https://en.wikipedia.org/wiki/Hidden_Jewel
6204	http://dbpedia.org/resource/Iggie's_House	https://upload.wikimedia.org/wikipedia/en/b/b7/Iggie%27s_House_book_cover.jpg	https://en.wikipedia.org/wiki/Iggie's_House
6205	http://dbpedia.org/resource/The_True_Confessions_of_Charlotte_Doyle	https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/The_True_Confessions_of_Charlotte_Doyle.jpg/220px-The_True_Confessions_of_Charlotte_Doyle.jpg	https://en.wikipedia.org/wiki/The_True_Confessions_of_Charlotte_Doyle
6206	http://dbpedia.org/resource/Politika	https://pictures.abebooks.com/isbn/9789751415967-it.jpg	https://en.wikipedia.org/wiki/Politics_(Aristotle)
6207	http://dbpedia.org/resource/Secrets_of_the_Morning	https://images-na.ssl-images-amazon.com/images/P/0671695126.01._SX360_SCLZZZZZZZ_.jpg	https://en.wikipedia.org/wiki/Secrets_of_the_Morning
6208	http://dbpedia.org/resource/A_Handful_of_Dust	https://upload.wikimedia.org/wikipedia/en/thumb/e/e8/Dust300.jpg/220px-Dust300.jpg	https://en.wikipedia.org/wiki/A_Handful_of_Dust
