index	graphid	dburl	wiki_url	img_url	name	youtubeId
0	6040	http://dbpedia.org/resource/Jumanji	https://en.wikipedia.org/wiki/Jumanji	https://upload.wikimedia.org/wikipedia/en/b/b6/Jumanji_poster.jpg	Jumanji (1995)	3LPANjHlPxo
1	6041	http://dbpedia.org/resource/Grumpier_Old_Men	https://en.wikipedia.org/wiki/Grumpier_Old_Men	https://upload.wikimedia.org/wikipedia/en/0/03/Grumpier_old_menposter.jpg	Grumpier Old Men (1995)	rEnOoWs3FuA
2	6042	http://dbpedia.org/resource/Waiting_to_Exhale	https://en.wikipedia.org/wiki/Waiting_to_Exhale	https://upload.wikimedia.org/wikipedia/en/c/ca/WaitingExhale.jpg	Waiting to Exhale (1995)	j9xml1CxgXI
3	6043	http://dbpedia.org/resource/Father_of_the_Bride_Part_II	https://en.wikipedia.org/wiki/Father_of_the_Bride_Part_II	https://upload.wikimedia.org/wikipedia/en/e/e1/Father_of_the_bride_part_ii.jpg	Father of the Bride Part II (1995)	BbvnDlu_Zjc
4	6044	http://dbpedia.org/resource/Heat_(1995_film)	https://en.wikipedia.org/wiki/Heat_(1995_film)	https://upload.wikimedia.org/wikipedia/en/6/6c/Heatposter.jpg	Heat (1995)	2GfZl4kuVNI
5	6045	http://dbpedia.org/resource/Sabrina_(1995_film)	https://en.wikipedia.org/wiki/Sabrina_(1995_film)	https://upload.wikimedia.org/wikipedia/en/d/d9/Sabrina_%281995_film%29.jpg	Sabrina (1995)	twTksx_lWB4
6	6046	http://dbpedia.org/resource/Tom_and_Huck	https://en.wikipedia.org/wiki/Tom_and_Huck	https://upload.wikimedia.org/wikipedia/en/d/db/Tomandhuck_poster.jpg	Tom and Huck (1995)	-C-xXZyX2zU
7	6047	http://dbpedia.org/resource/Sudden_Death	https://en.wikipedia.org/wiki/Sudden_Death_(1995_film)	https://upload.wikimedia.org/wikipedia/en/5/5d/Sudden_Death_%281995_film_poster%29.jpg	Sudden Death (1995)	tyq2TbL1OG8
8	6048	http://dbpedia.org/resource/GoldenEye	https://en.wikipedia.org/wiki/GoldenEye	https://upload.wikimedia.org/wikipedia/en/2/24/GoldenEye_-_UK_cinema_poster.jpg	GoldenEye (1995)	lcOqUE0u1LM
9	6049	http://dbpedia.org/resource/The_American_President	https://en.wikipedia.org/wiki/The_American_President	https://upload.wikimedia.org/wikipedia/en/f/f2/The_American_President_%28movie_poster%29.jpg	American President, The (1995)	UrC75wUKoFM
10	6050	http://dbpedia.org/resource/Dracula:_Dead_and_Loving_It	https://en.wikipedia.org/wiki/Dracula:_Dead_and_Loving_It	https://upload.wikimedia.org/wikipedia/en/5/54/Drac_dead_and_loving_it.jpg	Dracula: Dead and Loving It (1995)	tVdn8JH91Dg
11	6051	http://dbpedia.org/resource/Balto_(film)	https://en.wikipedia.org/wiki/Balto_(film)	https://upload.wikimedia.org/wikipedia/en/4/48/Balto_movie_poster.jpg	Balto (1995)	HJwvbmRXym4
12	6052	http://dbpedia.org/resource/Nixon_(film)	https://en.wikipedia.org/wiki/Nixon_(film)	https://upload.wikimedia.org/wikipedia/en/d/df/Nixonmovieposter.jpg	Nixon (1995)	dO2LWKpeyI8
13	6053	http://dbpedia.org/resource/Cutthroat_Island	https://en.wikipedia.org/wiki/Cutthroat_Island	https://upload.wikimedia.org/wikipedia/en/a/a1/Cutthroat_island_ver2.jpg	Cutthroat Island (1995)	7z8IARBbpzU
14	6054	http://dbpedia.org/resource/Casino_(film)	https://en.wikipedia.org/wiki/Casino_(film)	https://upload.wikimedia.org/wikipedia/en/c/cb/Casino_%28Martins_Scorsese_film%29.png	Casino (1995)	EJXDMwGWhoA
15	6055	http://dbpedia.org/resource/Sense_and_Sensibility_(film)	https://en.wikipedia.org/wiki/Sense_and_Sensibility_(film)	https://upload.wikimedia.org/wikipedia/en/6/69/Sense_and_sensibility.jpg	Sense and Sensibility (1995)	2WGq2Rbs1Qg
16	6056	http://dbpedia.org/resource/Four_Rooms	https://en.wikipedia.org/wiki/Four_Rooms	https://upload.wikimedia.org/wikipedia/en/c/c8/Four_rooms_ver2.jpg	Four Rooms (1995)	S_Pd2pGkq54
17	6057	http://dbpedia.org/resource/Ace_Ventura:_When_Nature_Calls	https://en.wikipedia.org/wiki/Ace_Ventura:_When_Nature_Calls	https://upload.wikimedia.org/wikipedia/en/b/b9/AceVenturaWhenNatureCallsposter.jpg	Ace Ventura: When Nature Calls (1995)	DfqPjRMsRP0
18	6058	http://dbpedia.org/resource/Money_Train_(film)	https://en.wikipedia.org/wiki/Money_Train_(film)	https://upload.wikimedia.org/wikipedia/en/d/de/Money_Train.jpg	Money Train (1995)	5Odo80-WFgM
19	6059	http://dbpedia.org/resource/Get_Shorty_(film)	https://en.wikipedia.org/wiki/Get_Shorty_(film)	https://upload.wikimedia.org/wikipedia/en/8/81/Get_shorty.jpg	Get Shorty (1995)	yNLaTtpovys
20	6060	http://dbpedia.org/resource/Copycat_(film)	https://en.wikipedia.org/wiki/Copycat_(1995_film)	https://upload.wikimedia.org/wikipedia/en/9/92/Copycat_ver1.jpg	Copycat (1995)	lsmXhM4yfU0
